Reference Designators,LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Description,Quantity,Datasheet,Board
"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17",C24497,CL31B104KBCNNNC,Samsung Electro-Mechanics,1206,100nF ±10% 50V Ceramic Capacitor X7R 1206,15,https://www.lcsc.com/datasheet/C24497.pdf?spm=wm.sxq.inf.ggs___wm.ddx.0.xqy&lcsc_vid=RQNbUAYDQVFXX11TFgBcA1NSQQdbXwcCRQAMAVIHTlkxVlNeRlJXUFFfQFBXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVFeSQwSGg0%3D,Sensor
"C1, C2",C318771,CL31B105KOFNNNE,Samsung Electro-Mechanics,1206,1uF ±10% 16V Ceramic Capacitor X7R 1206,2,https://www.lcsc.com/datasheet/C318771.pdf?spm=wm.sxq.inf.ggs___wm.ddx.1.xqy&lcsc_vid=RQNbUAYDQVFXX11TFgBcA1NSQQdbXwcCRQAMAVIHTlkxVlNeRlJXUFFfQFBXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVFeSQwSGg0%3D,Sensor
C18,C7432786,HGC1206R5226M250NSPJ,Chinocera,1206,22uF ±20% 25V Ceramic Capacitor X5R 1206,1,https://www.lcsc.com/datasheet/C7432786.pdf?spm=wm.sxq.inf.ggs___wm.ddx.2.xqy&lcsc_vid=RQNbUAYDQVFXX11TFgBcA1NSQQdbXwcCRQAMAVIHTlkxVlNeRlJXUFFfQFBXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVFeSQwSGg0%3D,Sensor
"U1, U2, U3, U4",C6465520,AP22817BKEWT-7,DIODES,TSOT-23-5,"1 Active Low 1.5A High Side Switch TSOT-23-5 Power Distribution Switches, Load Drivers RoHS",4,https://www.lcsc.com/datasheet/C6465520.pdf?spm=wm.sxq.inf.ggs___wm.ddx.3.xqy&lcsc_vid=RQNbUAYDQVFXX11TFgBcA1NSQQdbXwcCRQAMAVIHTlkxVlNeRlJXUFFfQFBXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVFeSQwSGg0%3D,Sensor
"D1, D2, D3, D4, D5, D6, D7, D8",C965557,WS2812B-4020,Worldsemi,"SMD,4x2mm","SMD,4x2mm LED Addressable, Specialty RoHS",8,https://www.lcsc.com/datasheet/C965557.pdf?spm=wm.sxq.inf.ggs___wm.ddx.4.xqy&lcsc_vid=RQNbUAYDQVFXX11TFgBcA1NSQQdbXwcCRQAMAVIHTlkxVlNeRlJXUFFfQFBXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVFeSQwSGg0%3D,Sensor
"MAG1, MAG2, MAG3",C1559664,TLI493DA2B6HTSA1,Infineon,TSOP-6-1.5mm,"TSOP-6-1.5mm Linear, Compass (ICs) RoHS",3,https://www.lcsc.com/datasheet/C1559664.pdf?spm=wm.sxq.inf.ggs___wm.ddx.5.xqy&lcsc_vid=RQNbUAYDQVFXX11TFgBcA1NSQQdbXwcCRQAMAVIHTlkxVlNeRlJXUFFfQFBXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVFeSQwSGg0%3D,Sensor
"R1, R2",C5159707,FRH0805B1002TS,FOJAN,805,10kΩ ±0.1% 125mW 0805 Thick Film Resistor,2,https://www.lcsc.com/datasheet/C5159707.pdf?spm=wm.sxq.inf.ggs___wm.ddx.6.xqy&lcsc_vid=RQNbUAYDQVFXX11TFgBcA1NSQQdbXwcCRQAMAVIHTlkxVlNeRlJXUFFfQFBXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVFeSQwSGg0%3D,Sensor
RN1,C784821,CAY16-103J4LF,BOURNS,0603x4,"4 ±5% 10kΩ 62.5mW ±200ppm/℃ 0603x4 Resistor Networks, Arrays RoHS",1,https://www.lcsc.com/datasheet/C784821.pdf?spm=wm.sxq.inf.ggs___wm.ddx.7.xqy&lcsc_vid=RQNbUAYDQVFXX11TFgBcA1NSQQdbXwcCRQAMAVIHTlkxVlNeRlJXUFFfQFBXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVFeSQwSGg0%3D,Sensor
"S1, S2",C53202792,TS-1101U08-3x6x3.5-260,CAX,"SMD-4P,7x3.5mm","Without Bracket 7mm 12V 3.5mm Rectangular Button No SPST-NO 50mA SMD-4P,7x3.5mm Tactile Switches RoHS",2,https://www.lcsc.com/datasheet/C53202792.pdf?spm=wm.sxq.inf.ggs___wm.ddx.8.xqy&lcsc_vid=RQNbUAYDQVFXX11TFgBcA1NSQQdbXwcCRQAMAVIHTlkxVlNeRlJXUFFfQFBXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVFeSQwSGg0%3D,Sensor
U5,C7484,SN74AHCT1G125DBVR,TI,SOT-23-5,"4.5V~5.5V 1 1 6.5ns@5V,15pF 10uA SOT-23-5 Buffers, Drivers, Receivers, Transceivers RoHS",1,https://www.lcsc.com/datasheet/C7484.pdf?spm=wm.sxq.inf.ggs___wm.ddx.9.xqy&lcsc_vid=RQNbUAYDQVFXX11TFgBcA1NSQQdbXwcCRQAMAVIHTlkxVlNeRlJXUFFfQFBXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVFeSQwSGg0%3D,Sensor
"J1, J2",C49563339,A200UP-ZS03P-PC028,BXCONN,"Through Hole,P=2mm",Pin Header 6 Position Dual Row -40℃~+105℃,2,https://www.lcsc.com/datasheet/C49563339.pdf?spm=wm.sxq.inf.ggs___wm.ddx.10.xqy&lcsc_vid=RQNbUAYDQVFXX11TFgBcA1NSQQdbXwcCRQAMAVIHTlkxVlNeRlJXUFFfQFBXUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVFeSQwSGg0%3D,MCU
